File                                        Number of inlinks  Anchor text(s)
----------------------------------------  -------------------  ---------------------------------------------------------------
Brazil.html                                                83  Brazil, BRA, Brazilian
August_26.html                                             25  08-26, 26 August, August 26, 26
Manga.html                                                 14  manga, Manga
Magazine.html                                              13  Magazine, magazines, magazine
Mollusca.html                                              12  Mollusca
Victoria_of_the_United_Kingdom_5e8e.html                    8  Victoria, Queen, Victoria of the United Kingdom, Queen Victoria
Screenwriter.html                                           7  Writer(s), screenwriter, Screenwriter
Kidney.html                                                 6  kidneys, Renal, kidney
Tottenham_Hotspur_F.C._6bd2.html                            5  Tottenham Hotspur, Tottenham
ATF1_c050.html                                              4  1
